response_id,date,department,channel,nps_score,satisfaction,would_recommend,comment_length
120,2026-01-29,Marketing,Phone,0,1,no,126
121,2026-02-03,Marketing,In-App,6,2,no,0
122,2026-01-27,Engineering,In-App,10,4,yes,221
123,2026-01-19,Engineering,Phone,10,5,yes,0
124,2026-01-08,Sales,In-App,9,4,yes,416
125,2026-01-30,Support,Phone,1,1,yes,68
126,2026-02-01,Marketing,Phone,2,1,no,0
127,2026-02-04,Marketing,In-App,9,4,yes,215
128,2026-01-05,Sales,Phone,10,5,yes,346
129,2026-01-09,Support,Email,1,1,no,0
130,2026-02-19,Support,Email,1,1,no,198
131,2026-02-09,Engineering,Email,10,5,yes,0
132,2026-01-21,Support,Email,5,2,yes,0
133,2026-02-16,Marketing,In-App,10,4,yes,264
134,2026-02-26,Engineering,In-App,9,4,yes,101
135,2026-02-13,Engineering,Phone,10,5,yes,379
136,2026-01-07,Product,Phone,9,4,yes,96
137,2026-03-07,Marketing,Email,10,5,yes,56
138,2026-01-15,Marketing,Email,1,1,yes,275
139,2026-02-16,Marketing,Phone,10,5,yes,419
140,2026-03-10,Product,Email,6,3,yes,280
141,2026-01-11,Engineering,Email,3,2,no,429
142,2026-01-21,Sales,Phone,2,1,no,0
143,2026-01-22,Sales,Email,9,5,yes,464
144,2026-02-05,Marketing,Email,9,4,yes,258
145,2026-02-03,Sales,In-App,9,4,yes,50
146,2026-01-12,Support,Phone,9,4,yes,47
147,2026-01-23,Sales,Email,8,4,yes,441
148,2026-03-07,Engineering,Phone,9,5,yes,0
149,2026-03-08,Marketing,Email,10,4,yes,354
150,2026-01-23,Product,Email,10,5,yes,493
151,2026-01-20,Engineering,In-App,7,3,yes,0
152,2026-01-07,Marketing,In-App,10,5,yes,0
153,2026-01-23,Marketing,Email,10,4,yes,375
154,2026-03-10,Support,Email,9,4,yes,0
155,2026-02-17,Marketing,Email,9,4,yes,206
156,2026-02-03,Support,Email,9,4,yes,0
157,2026-01-12,Engineering,Phone,10,5,yes,0
158,2026-02-21,Sales,Phone,0,1,no,477
159,2026-01-08,Engineering,In-App,8,3,yes,309
160,2026-01-16,Marketing,Email,7,3,yes,404
161,2026-03-11,Marketing,Phone,9,4,yes,0
162,2026-02-25,Engineering,Phone,9,4,yes,444
163,2026-01-31,Marketing,In-App,8,4,yes,493
164,2026-02-05,Sales,Phone,7,3,yes,343
165,2026-02-12,Sales,In-App,7,3,yes,441
166,2026-01-23,Support,Email,10,4,yes,496
167,2026-02-27,Marketing,Email,6,3,no,0
168,2026-01-27,Product,In-App,9,4,yes,0
169,2026-01-14,Marketing,In-App,6,3,no,145
170,2026-01-08,Sales,Phone,6,3,no,0
171,2026-01-10,Support,Email,10,4,yes,436
172,2026-02-25,Engineering,Email,7,4,yes,353
173,2026-01-27,Sales,Email,10,5,yes,78
174,2026-01-22,Product,In-App,10,4,yes,126
175,2026-03-03,Marketing,In-App,10,5,yes,414
176,2026-01-12,Product,Phone,9,4,yes,0
177,2026-01-25,Engineering,In-App,3,2,no,76
178,2026-01-30,Product,In-App,4,2,no,454
179,2026-01-31,Engineering,Email,10,5,yes,114
180,2026-01-21,Marketing,Email,8,4,yes,0
181,2026-01-11,Product,In-App,7,3,yes,14
182,2026-01-09,Product,In-App,10,5,yes,0
183,2026-03-11,Engineering,Email,4,2,yes,294
184,2026-01-16,Engineering,Phone,6,3,no,0
185,2026-01-13,Sales,In-App,10,5,yes,431
186,2026-01-29,Sales,Phone,10,5,yes,0
187,2026-02-06,Sales,Phone,10,4,yes,0
188,2026-01-25,Engineering,Email,10,4,yes,353
189,2026-02-27,Engineering,Phone,3,2,no,0
190,2026-01-05,Marketing,Email,6,3,no,26
191,2026-02-12,Engineering,In-App,9,4,yes,148
192,2026-02-01,Marketing,Phone,8,4,yes,27
193,2026-02-09,Marketing,Phone,9,4,yes,428
194,2026-02-13,Sales,In-App,6,3,yes,421
195,2026-02-14,Sales,In-App,10,5,yes,182
196,2026-03-04,Marketing,Phone,8,3,yes,276
197,2026-02-23,Sales,Phone,9,5,yes,424
198,2026-02-18,Product,Phone,2,1,no,110
199,2026-02-19,Marketing,Phone,9,4,yes,295
200,2026-02-21,Product,Phone,8,3,yes,482
201,2026-02-02,Support,Email,7,3,yes,75
202,2026-01-13,Support,Phone,7,3,yes,323
203,2026-01-09,Sales,Phone,4,1,no,371
204,2026-02-01,Sales,Email,8,4,yes,428
205,2026-03-04,Sales,Phone,9,4,yes,121
206,2026-01-09,Marketing,In-App,9,4,yes,49
207,2026-01-23,Marketing,Email,9,4,yes,87
208,2026-01-21,Support,Email,1,1,no,238
209,2026-01-14,Marketing,In-App,9,4,yes,329
210,2026-01-27,Product,Phone,9,4,yes,359
211,2026-03-08,Sales,Phone,7,3,yes,250
212,2026-01-22,Marketing,Phone,10,4,yes,0
213,2026-02-22,Marketing,Email,10,5,yes,19
214,2026-01-29,Sales,In-App,10,5,yes,0
215,2026-02-12,Engineering,Phone,10,4,yes,0
216,2026-03-01,Marketing,In-App,7,4,yes,66
217,2026-02-12,Marketing,Phone,5,2,no,99
218,2026-02-22,Sales,In-App,4,2,no,500
219,2026-01-05,Engineering,In-App,3,2,yes,286
220,2026-03-09,Marketing,In-App,9,4,yes,0
221,2026-03-12,Sales,Phone,9,4,yes,322
222,2026-03-15,Support,Phone,9,4,yes,397
223,2026-01-16,Support,Email,7,4,yes,242
224,2026-01-21,Sales,In-App,9,4,yes,281
225,2026-01-15,Marketing,In-App,8,4,yes,46
226,2026-02-15,Sales,Email,7,4,yes,150
227,2026-02-01,Marketing,Email,5,2,yes,67
228,2026-02-18,Sales,Email,10,4,yes,0
229,2026-02-12,Product,In-App,6,3,yes,0
230,2026-02-06,Sales,Phone,1,1,yes,105
231,2026-01-26,Support,In-App,8,4,yes,8
232,2026-01-16,Marketing,Email,8,4,yes,467
233,2026-03-05,Engineering,Email,9,4,yes,180
234,2026-02-03,Product,Email,0,1,no,131
235,2026-01-08,Engineering,Phone,10,5,yes,260
236,2026-01-10,Product,Phone,10,4,yes,282
237,2026-01-18,Engineering,Email,8,3,yes,225
238,2026-01-08,Product,Email,10,4,yes,426
239,2026-01-16,Sales,Email,8,4,yes,375
240,2026-03-02,Support,Email,7,3,yes,185
241,2026-01-16,Support,Phone,10,5,yes,0
242,2026-02-03,Product,Phone,4,1,no,168
243,2026-02-03,Sales,In-App,8,3,yes,0
244,2026-03-09,Support,In-App,7,3,yes,310
245,2026-02-28,Product,In-App,8,4,yes,34
246,2026-03-10,Support,In-App,7,4,yes,308
247,2026-03-03,Marketing,In-App,9,5,yes,0
248,2026-02-10,Support,Phone,2,1,no,235
249,2026-02-25,Product,In-App,9,4,yes,79
250,2026-01-05,Sales,Email,9,4,yes,32
251,2026-02-28,Marketing,Phone,9,4,yes,131
252,2026-02-06,Sales,In-App,9,4,yes,392
253,2026-02-18,Marketing,Phone,6,3,no,84
254,2026-02-01,Product,In-App,8,3,yes,22
255,2026-01-20,Engineering,Email,7,4,yes,140
256,2026-02-02,Engineering,Email,7,3,yes,467
257,2026-01-28,Engineering,In-App,7,3,yes,61
258,2026-03-14,Sales,In-App,9,4,yes,0
259,2026-01-19,Support,Phone,10,4,yes,113
260,2026-03-10,Marketing,Email,5,2,yes,218
261,2026-02-13,Engineering,In-App,9,4,yes,0
262,2026-03-06,Support,Phone,7,3,yes,419
263,2026-02-07,Support,Email,10,5,yes,0
264,2026-01-09,Engineering,Phone,7,3,yes,334
265,2026-02-03,Engineering,Phone,9,4,yes,61
266,2026-02-26,Engineering,Phone,9,5,yes,62
267,2026-03-07,Marketing,In-App,10,5,yes,162
268,2026-01-18,Support,Phone,10,4,yes,0
269,2026-02-15,Product,Email,5,3,no,280
270,2026-03-11,Marketing,In-App,3,2,no,0
271,2026-02-18,Engineering,Phone,9,4,yes,271
272,2026-02-01,Product,Phone,7,3,yes,0
273,2026-01-09,Marketing,Email,3,1,no,131
274,2026-01-14,Sales,Email,10,4,yes,363
275,2026-02-14,Marketing,Phone,6,3,yes,0
276,2026-01-15,Engineering,In-App,10,4,yes,0
277,2026-02-15,Support,Email,1,1,no,142
278,2026-03-11,Sales,In-App,9,4,yes,94
279,2026-01-06,Product,In-App,3,2,yes,0
280,2026-02-15,Marketing,Phone,0,1,no,134
281,2026-01-20,Sales,Email,9,4,yes,0
282,2026-01-31,Marketing,Phone,7,3,yes,420
283,2026-02-05,Engineering,Phone,8,4,yes,165
284,2026-03-12,Marketing,Email,2,1,no,0
285,2026-01-13,Sales,In-App,8,3,yes,0
286,2026-01-16,Engineering,Email,8,4,yes,0
287,2026-02-24,Sales,Email,3,1,no,128
288,2026-02-21,Support,Phone,5,3,no,374
289,2026-01-10,Product,Email,10,4,yes,366
290,2026-01-08,Engineering,Phone,1,1,yes,0
291,2026-02-12,Sales,Phone,7,3,yes,31
292,2026-01-15,Support,Phone,9,4,yes,0
293,2026-03-14,Sales,Email,10,4,yes,134
294,2026-01-13,Marketing,Email,10,4,yes,0
295,2026-01-25,Sales,Phone,9,4,yes,45
296,2026-02-17,Sales,In-App,7,3,yes,28
297,2026-01-30,Sales,Phone,9,4,yes,0
298,2026-02-22,Engineering,In-App,10,5,yes,0
299,2026-01-12,Support,In-App,8,3,yes,495
300,2026-02-14,Support,Phone,8,3,yes,481
301,2026-01-28,Support,Phone,8,4,yes,91
302,2026-02-21,Product,In-App,9,4,yes,142
303,2026-03-02,Product,Phone,10,5,yes,377
304,2026-02-28,Support,Email,7,4,yes,347
305,2026-01-30,Marketing,Phone,9,4,yes,165
306,2026-02-02,Support,Phone,4,2,yes,27
307,2026-02-22,Sales,Phone,7,3,yes,218
308,2026-03-12,Sales,In-App,9,4,yes,0
309,2026-02-01,Product,In-App,9,4,yes,269
310,2026-02-03,Support,Email,6,3,yes,272
311,2026-03-08,Support,Phone,8,3,yes,328
312,2026-02-02,Support,Email,7,3,yes,161
313,2026-02-06,Marketing,In-App,7,3,yes,0
314,2026-03-12,Sales,Email,3,2,no,364
315,2026-03-05,Marketing,Email,5,2,no,422
316,2026-01-19,Support,Email,9,4,yes,0
317,2026-03-11,Marketing,In-App,4,2,yes,486
318,2026-01-29,Support,Email,8,4,yes,389
319,2026-03-02,Product,Email,6,3,no,0
320,2026-01-30,Marketing,Phone,9,4,yes,0
321,2026-02-06,Support,In-App,8,4,yes,0
322,2026-02-01,Marketing,In-App,0,1,no,0
323,2026-02-27,Support,Email,10,4,yes,0
324,2026-01-13,Engineering,Email,10,4,yes,0
325,2026-03-01,Sales,Email,9,5,yes,0
326,2026-02-20,Support,Email,9,4,yes,377
327,2026-01-30,Marketing,Phone,6,3,no,207
328,2026-03-04,Support,In-App,8,4,yes,135
329,2026-02-05,Sales,Email,10,4,yes,0
330,2026-03-02,Support,Email,4,1,no,0
331,2026-01-06,Marketing,In-App,9,4,yes,35
332,2026-02-21,Marketing,Phone,8,4,yes,78
333,2026-01-29,Support,Phone,10,4,yes,0
334,2026-03-07,Product,In-App,10,5,yes,0
335,2026-02-25,Engineering,Phone,5,2,no,137
336,2026-01-21,Engineering,Email,9,4,yes,0
337,2026-01-15,Marketing,Email,1,1,no,0
338,2026-01-30,Product,Phone,7,3,yes,492
339,2026-03-09,Sales,In-App,9,4,yes,119
340,2026-02-03,Support,Email,9,4,yes,72
341,2026-02-17,Marketing,Phone,1,1,no,0
342,2026-02-18,Engineering,In-App,7,3,yes,298
343,2026-01-31,Engineering,In-App,7,3,yes,481
344,2026-02-21,Sales,Phone,1,1,yes,185
345,2026-02-18,Sales,Email,6,3,no,35
346,2026-03-09,Support,In-App,10,5,yes,21
347,2026-01-12,Support,Phone,10,5,yes,140
348,2026-03-01,Engineering,In-App,7,3,yes,5
349,2026-01-10,Product,Phone,7,3,yes,361
350,2026-02-20,Support,Phone,0,1,no,278
351,2026-02-10,Marketing,Phone,8,3,yes,188
352,2026-01-10,Engineering,Email,10,5,yes,0
353,2026-01-24,Engineering,In-App,10,4,yes,94
354,2026-03-13,Product,In-App,8,4,yes,392
355,2026-02-26,Product,In-App,8,3,yes,299
356,2026-01-08,Engineering,In-App,9,4,yes,20
357,2026-02-18,Engineering,Phone,1,1,yes,0
358,2026-02-03,Sales,Phone,9,4,yes,276
359,2026-02-25,Support,In-App,9,4,yes,406
360,2026-02-06,Sales,Phone,6,3,yes,0
361,2026-01-22,Marketing,Phone,0,1,yes,0
362,2026-02-22,Sales,In-App,9,4,yes,300
363,2026-03-01,Marketing,Email,10,5,yes,123
364,2026-02-20,Sales,Email,10,4,yes,0
365,2026-02-23,Support,Email,10,5,yes,52
366,2026-01-05,Product,Phone,10,4,yes,0
367,2026-03-07,Engineering,In-App,9,4,yes,0
368,2026-01-25,Engineering,In-App,10,5,yes,462
369,2026-02-10,Product,Email,6,3,yes,497
370,2026-01-14,Marketing,Email,10,5,yes,0
371,2026-01-22,Product,In-App,4,2,yes,43
372,2026-02-18,Support,In-App,10,5,yes,0
373,2026-01-09,Marketing,In-App,7,3,yes,348
374,2026-01-19,Sales,Email,10,4,yes,0
375,2026-03-09,Product,In-App,10,4,yes,0
376,2026-01-29,Product,Email,9,4,yes,248
377,2026-02-25,Engineering,Email,8,3,yes,413
378,2026-01-10,Support,In-App,8,3,yes,416
379,2026-02-15,Sales,Email,7,4,yes,370
380,2026-01-20,Marketing,In-App,7,3,yes,300
381,2026-03-09,Support,Email,9,4,yes,0
382,2026-02-19,Support,Email,7,3,yes,89
383,2026-01-17,Engineering,In-App,9,4,yes,0
384,2026-03-02,Marketing,Phone,9,4,yes,36
385,2026-01-13,Engineering,Email,2,1,no,0
386,2026-01-25,Engineering,Email,8,3,yes,0
387,2026-02-12,Sales,Email,9,4,yes,0
388,2026-03-08,Support,Phone,0,1,no,141
389,2026-03-11,Product,Email,9,4,yes,447
390,2026-02-16,Engineering,Email,5,2,no,358
391,2026-01-15,Marketing,Email,6,3,no,145
392,2026-01-06,Product,In-App,7,3,yes,0
393,2026-03-12,Marketing,In-App,10,4,yes,112
394,2026-01-09,Sales,Email,8,4,yes,224
395,2026-03-06,Sales,Email,0,1,no,0
396,2026-02-08,Engineering,In-App,8,4,yes,0
397,2026-02-14,Sales,In-App,10,4,yes,65
398,2026-03-03,Marketing,Phone,9,4,yes,0
399,2026-01-30,Product,In-App,7,4,yes,0
400,2026-02-13,Product,Phone,10,4,yes,0
401,2026-02-04,Engineering,Phone,6,3,yes,20
402,2026-02-04,Sales,Phone,9,4,yes,0
403,2026-03-14,Support,In-App,10,5,yes,29
404,2026-03-08,Support,Phone,8,4,yes,51
405,2026-02-16,Support,In-App,8,3,yes,0
406,2026-01-26,Marketing,Email,7,3,yes,17
407,2026-02-09,Marketing,Email,7,4,yes,386
408,2026-03-02,Marketing,Email,10,4,yes,146
409,2026-02-08,Product,Phone,4,2,no,319
410,2026-02-20,Marketing,Email,9,4,yes,329
411,2026-01-26,Engineering,Phone,8,3,yes,472
412,2026-03-01,Product,In-App,10,4,yes,352
413,2026-02-16,Sales,Phone,3,2,no,238
414,2026-03-07,Sales,In-App,8,4,yes,0
415,2026-02-20,Product,Phone,10,4,yes,0
416,2026-01-15,Product,Phone,9,4,yes,455
417,2026-01-22,Marketing,In-App,9,4,yes,318
418,2026-02-15,Engineering,Phone,9,5,yes,10
419,2026-02-28,Engineering,In-App,7,3,yes,78
420,2026-01-24,Support,Email,9,4,yes,0
421,2026-02-20,Sales,In-App,2,1,no,0
422,2026-03-01,Support,Phone,9,4,yes,320
423,2026-01-20,Engineering,In-App,8,3,yes,22
424,2026-01-13,Support,In-App,8,4,yes,266
425,2026-03-10,Marketing,Phone,10,5,yes,0
426,2026-01-18,Engineering,Phone,10,5,yes,196
427,2026-01-29,Marketing,In-App,2,1,no,41
428,2026-01-10,Product,In-App,9,4,yes,180
429,2026-02-28,Marketing,Email,4,2,no,381
430,2026-01-28,Marketing,Phone,9,4,yes,0
431,2026-03-08,Support,In-App,8,3,yes,231
432,2026-02-08,Support,In-App,10,4,yes,121
433,2026-01-31,Product,Phone,10,5,yes,0
434,2026-02-17,Engineering,Phone,10,5,yes,162
435,2026-01-26,Engineering,Phone,7,4,yes,232
436,2026-01-21,Product,In-App,7,3,yes,292
437,2026-02-07,Marketing,In-App,9,4,yes,0
438,2026-01-26,Product,In-App,10,5,yes,423
439,2026-03-12,Engineering,In-App,8,4,yes,69
440,2026-03-09,Marketing,In-App,8,4,yes,386
441,2026-01-22,Sales,Phone,9,5,yes,425
442,2026-02-13,Product,In-App,7,3,yes,0
443,2026-03-05,Sales,Phone,8,4,yes,253
444,2026-03-09,Sales,Email,0,1,yes,0
445,2026-01-27,Sales,In-App,10,5,yes,0
446,2026-02-08,Product,Email,5,2,yes,174
447,2026-02-03,Engineering,Email,10,4,yes,181
448,2026-01-14,Sales,Email,10,4,yes,0
449,2026-03-12,Marketing,In-App,5,2,no,0
450,2026-01-29,Product,In-App,8,3,yes,0
451,2026-03-05,Sales,Email,5,2,yes,53
452,2026-03-13,Sales,Email,6,3,no,0
453,2026-03-15,Marketing,Email,9,4,yes,200
454,2026-01-14,Engineering,Email,6,3,no,457
455,2026-02-21,Sales,In-App,7,3,yes,70
456,2026-02-07,Product,In-App,10,4,yes,353
457,2026-02-18,Marketing,Phone,9,4,yes,185
458,2026-01-17,Sales,Email,1,1,no,3
459,2026-01-11,Sales,In-App,8,4,yes,459
460,2026-01-16,Engineering,In-App,6,3,no,358
461,2026-01-21,Product,Phone,9,4,yes,186
462,2026-01-08,Product,In-App,0,1,no,0
463,2026-01-21,Sales,Phone,10,5,yes,389
464,2026-01-07,Marketing,In-App,8,4,yes,187
465,2026-02-16,Product,Email,1,1,no,295
466,2026-01-20,Marketing,Email,1,1,no,451
467,2026-03-05,Product,In-App,9,4,yes,31
468,2026-02-03,Sales,Email,10,5,yes,277
469,2026-01-24,Engineering,In-App,9,4,yes,0
470,2026-01-22,Marketing,Phone,3,2,no,0
471,2026-01-12,Marketing,Phone,10,4,yes,437
472,2026-01-25,Marketing,Phone,10,5,yes,0
473,2026-02-07,Marketing,Phone,9,4,yes,0
474,2026-01-21,Marketing,Phone,10,4,yes,483
475,2026-02-21,Marketing,In-App,4,2,no,468
476,2026-02-05,Marketing,In-App,10,5,yes,0
477,2026-01-16,Support,In-App,9,4,yes,213
478,2026-01-10,Support,Phone,3,1,no,75
479,2026-02-02,Product,Phone,9,4,yes,180
480,2026-02-28,Marketing,Phone,9,4,yes,37
481,2026-01-31,Support,Phone,7,3,yes,0
482,2026-01-31,Support,Phone,7,3,yes,8
483,2026-01-05,Support,Phone,6,3,no,181
484,2026-01-23,Marketing,In-App,10,4,yes,0
485,2026-01-11,Sales,Phone,7,3,yes,160
486,2026-01-25,Engineering,Phone,10,5,yes,236
487,2026-03-04,Support,Phone,7,4,yes,0
488,2026-02-21,Sales,In-App,9,4,yes,168
489,2026-02-15,Product,In-App,2,1,yes,0
490,2026-03-10,Sales,Email,9,5,yes,19
491,2026-01-12,Marketing,Email,6,2,no,0
492,2026-03-14,Engineering,In-App,5,3,yes,224
493,2026-01-19,Engineering,In-App,8,4,yes,0
494,2026-01-08,Marketing,Email,0,1,no,0
495,2026-02-03,Product,Phone,6,2,no,329
496,2026-02-22,Product,Phone,9,4,yes,91
497,2026-01-05,Support,In-App,10,5,yes,318
498,2026-02-01,Engineering,Phone,10,4,yes,0
499,2026-02-22,Marketing,Phone,10,5,yes,0
500,2026-01-17,Sales,In-App,8,4,yes,357
501,2026-01-17,Product,In-App,7,3,yes,495
502,2026-02-15,Sales,Email,10,4,yes,0
503,2026-02-19,Engineering,Email,2,1,no,0
504,2026-01-08,Product,In-App,9,4,yes,247
505,2026-02-18,Product,Email,10,5,yes,210
506,2026-02-18,Marketing,Email,7,3,yes,330
507,2026-02-02,Sales,Phone,10,4,yes,199
508,2026-03-13,Product,Phone,8,4,yes,89
509,2026-02-11,Sales,In-App,7,3,yes,306
510,2026-02-24,Engineering,Phone,9,4,yes,162
511,2026-02-25,Product,Phone,9,4,yes,183
512,2026-02-03,Engineering,Phone,9,4,yes,0
513,2026-02-07,Engineering,Phone,8,4,yes,471
514,2026-02-26,Marketing,Phone,8,3,yes,53
515,2026-03-08,Support,In-App,7,3,yes,134
516,2026-02-24,Marketing,Email,10,4,yes,258
517,2026-02-25,Sales,Phone,10,5,yes,395
518,2026-01-18,Engineering,Email,10,5,yes,253
519,2026-01-12,Engineering,Email,1,1,yes,232
520,2026-01-10,Engineering,Email,6,3,yes,184
521,2026-01-22,Engineering,In-App,10,4,yes,0
522,2026-02-13,Engineering,Email,6,3,yes,305
523,2026-02-22,Product,Email,8,4,yes,180
524,2026-02-08,Product,Email,9,5,yes,0
525,2026-02-15,Product,In-App,2,1,no,6
526,2026-02-04,Support,Phone,7,3,yes,347
527,2026-02-14,Support,Phone,8,3,yes,0
528,2026-02-16,Marketing,Email,7,3,yes,0
529,2026-01-31,Product,In-App,9,5,yes,414
530,2026-02-06,Sales,Email,7,4,yes,493
531,2026-02-16,Product,Email,10,5,yes,200
532,2026-02-13,Support,Phone,3,1,no,0
533,2026-01-31,Product,Phone,9,4,yes,481
534,2026-01-28,Product,In-App,6,3,no,206
535,2026-02-22,Engineering,In-App,9,4,yes,0
536,2026-02-05,Engineering,Phone,10,5,yes,348
537,2026-01-28,Product,Phone,10,5,yes,403
538,2026-01-13,Engineering,Email,10,5,yes,382
539,2026-02-04,Support,Phone,5,2,yes,213
540,2026-02-17,Support,Phone,10,4,yes,295
541,2026-03-09,Sales,Phone,8,4,yes,449
542,2026-02-26,Engineering,Phone,7,3,yes,0
543,2026-02-19,Support,Phone,1,1,no,429
544,2026-03-07,Marketing,Phone,4,2,no,97
