date,revenue,orders,avg_order_value,conversion_rate,visitors,category
2025-12-28,9212.23,50,184.24,2.9,1723,Home & Garden
2025-12-28,6829.07,45,151.76,3.15,1427,Sports
2025-12-29,28853.79,133,216.95,3.81,3487,Electronics
2025-12-29,14562.34,80,182.03,2.77,2890,Clothing
2025-12-29,14092.31,67,210.33,2.95,2272,Home & Garden
2025-12-29,9797.05,51,192.1,2.73,1868,Sports
2025-12-30,31715.35,173,183.33,3.67,4716,Electronics
2025-12-30,15893.42,113,140.65,2.99,3784,Clothing
2025-12-30,10783.62,50,215.67,3.82,1309,Home & Garden
2025-12-30,10390.27,63,164.92,2.59,2435,Sports
2025-12-31,49334.88,228,216.38,2.63,8674,Electronics
2025-12-31,23637.73,162,145.91,3.64,4449,Clothing
2025-12-31,20504.46,136,150.77,3.21,4232,Home & Garden
2025-12-31,14455.3,89,162.42,3.81,2336,Sports
2026-01-01,43493.43,277,157.02,3.31,8371,Electronics
2026-01-01,25495.16,163,156.41,2.97,5492,Clothing
2026-01-01,21914.23,114,192.23,3.16,3610,Home & Garden
2026-01-01,14385.45,96,149.85,2.84,3383,Sports
2026-01-02,42557.27,227,187.48,2.85,7978,Electronics
2026-01-02,21951.21,150,146.34,3.45,4352,Clothing
2026-01-02,17611.14,82,214.77,3.79,2163,Home & Garden
2026-01-02,12526.5,78,160.6,3.5,2226,Sports
2026-01-03,19174.09,127,150.98,3.9,3253,Electronics
2026-01-03,11474.45,64,179.29,3.68,1740,Clothing
2026-01-03,9817.13,63,155.83,2.65,2381,Home & Garden
2026-01-03,6601.56,37,178.42,3.2,1156,Sports
2026-01-04,22517.99,116,194.12,3.98,2917,Electronics
2026-01-04,9927.64,57,174.17,3.01,1894,Clothing
2026-01-04,10009.77,62,161.45,2.79,2225,Home & Garden
2026-01-04,6668.1,38,175.48,2.92,1302,Sports
2026-01-05,27970.24,130,215.16,3.17,4107,Electronics
2026-01-05,17956.16,97,185.12,2.58,3765,Clothing
2026-01-05,14901.21,72,206.96,3.95,1821,Home & Garden
2026-01-05,10963.29,52,210.83,2.75,1891,Sports
2026-01-06,30249.13,192,157.55,3.1,6190,Electronics
2026-01-06,14120.04,82,172.2,3.98,2061,Clothing
2026-01-06,12102.88,59,205.13,3.18,1853,Home & Garden
2026-01-06,9539.45,44,216.81,4.0,1101,Sports
2026-01-07,31030.61,157,197.65,2.73,5746,Electronics
2026-01-07,15352.85,70,219.33,3.37,2077,Clothing
2026-01-07,13245.57,66,200.69,2.59,2552,Home & Garden
2026-01-07,10057.73,55,182.87,3.78,1455,Sports
2026-01-08,27509.07,126,218.33,2.62,4808,Electronics
2026-01-08,14876.9,79,188.32,3.51,2248,Clothing
2026-01-08,12096.17,80,151.2,3.84,2085,Home & Garden
2026-01-08,9104.69,48,189.68,3.43,1399,Sports
2026-01-09,30053.64,160,187.84,3.28,4871,Electronics
2026-01-09,18651.8,119,156.74,3.57,3329,Clothing
2026-01-09,12165.2,70,173.79,3.51,1995,Home & Garden
2026-01-09,9305.99,56,166.18,3.63,1543,Sports
2026-01-10,18880.64,106,178.12,4.0,2651,Electronics
2026-01-10,13329.29,91,146.48,2.82,3227,Clothing
2026-01-10,8628.18,40,215.7,3.82,1046,Home & Garden
2026-01-10,7753.59,45,172.3,2.74,1644,Sports
2026-01-11,23934.29,121,197.8,3.42,3540,Electronics
2026-01-11,13358.61,69,193.6,2.51,2747,Clothing
2026-01-11,10211.0,62,164.69,3.5,1773,Home & Garden
2026-01-11,7913.83,52,152.19,2.67,1945,Sports
2026-01-12,27539.5,149,184.83,2.91,5122,Electronics
2026-01-12,17250.98,87,198.29,2.81,3101,Clothing
2026-01-12,13918.83,86,161.85,3.23,2660,Home & Garden
2026-01-12,11255.27,54,208.43,2.64,2046,Sports
2026-01-13,30641.0,188,162.98,2.51,7504,Electronics
2026-01-13,18166.44,95,191.23,2.89,3283,Clothing
2026-01-13,14412.64,78,184.78,3.14,2482,Home & Garden
2026-01-13,8597.24,58,148.23,3.83,1516,Sports
2026-01-14,35317.13,192,183.94,3.75,5117,Electronics
2026-01-14,17292.7,113,153.03,2.69,4198,Clothing
2026-01-14,12723.45,60,212.06,3.69,1624,Home & Garden
2026-01-14,11220.63,52,215.78,2.82,1847,Sports
2026-01-15,29262.54,197,148.54,3.67,5367,Electronics
2026-01-15,18903.32,109,173.42,3.43,3176,Clothing
2026-01-15,12154.72,56,217.05,3.8,1474,Home & Garden
2026-01-15,11622.9,56,207.55,3.82,1465,Sports
2026-01-16,27249.31,136,200.36,3.0,4535,Electronics
2026-01-16,19225.39,94,204.53,3.8,2476,Clothing
2026-01-16,14889.72,92,161.84,3.68,2499,Home & Garden
2026-01-16,9014.01,42,214.62,3.79,1108,Sports
2026-01-17,20483.42,99,206.9,3.19,3103,Electronics
2026-01-17,11270.44,55,204.92,2.84,1935,Clothing
2026-01-17,8207.58,52,157.84,2.99,1737,Home & Garden
2026-01-17,7967.03,36,221.31,2.92,1233,Sports
2026-01-18,23394.54,136,172.02,3.97,3424,Electronics
2026-01-18,12153.12,56,217.02,2.67,2095,Clothing
2026-01-18,10975.29,71,154.58,3.94,1800,Home & Garden
2026-01-18,6705.96,45,149.02,3.15,1427,Sports
2026-01-19,34407.75,208,165.42,3.41,6100,Electronics
2026-01-19,17309.11,101,171.38,3.37,3001,Clothing
2026-01-19,12784.55,64,199.76,2.5,2557,Home & Garden
2026-01-19,11671.41,63,185.26,3.58,1760,Sports
2026-01-20,34687.4,179,193.78,3.05,5875,Electronics
2026-01-20,15089.94,78,193.46,3.0,2604,Clothing
2026-01-20,13086.26,62,211.07,3.58,1732,Home & Garden
2026-01-20,9772.3,59,165.63,3.11,1895,Sports
2026-01-21,31528.99,192,164.21,2.69,7135,Electronics
2026-01-21,16984.73,78,217.75,3.52,2218,Clothing
2026-01-21,15602.12,82,190.27,2.95,2778,Home & Garden
2026-01-21,10590.14,75,141.2,2.93,2559,Sports
2026-01-22,31933.89,171,186.75,3.48,4910,Electronics
2026-01-22,17291.45,98,176.44,2.82,3474,Clothing
2026-01-22,13867.54,65,213.35,3.7,1759,Home & Garden
2026-01-22,9446.01,64,147.59,3.27,1955,Sports
2026-01-23,34066.54,204,166.99,3.73,5472,Electronics
2026-01-23,18872.24,97,194.56,2.84,3419,Clothing
2026-01-23,12772.74,89,143.51,2.87,3104,Home & Garden
2026-01-23,10451.46,50,209.03,2.61,1916,Sports
2026-01-24,22438.87,117,191.79,2.79,4191,Electronics
2026-01-24,13064.26,72,181.45,2.87,2512,Clothing
2026-01-24,10332.09,73,141.54,3.63,2012,Home & Garden
2026-01-24,8002.21,53,150.99,3.14,1689,Sports
2026-01-25,20879.17,96,217.49,3.28,2929,Electronics
2026-01-25,10718.16,67,159.97,3.77,1776,Clothing
2026-01-25,9782.53,47,208.14,3.5,1342,Home & Garden
2026-01-25,8522.1,45,189.38,3.93,1146,Sports
2026-01-26,37076.25,196,189.16,3.58,5476,Electronics
2026-01-26,17800.48,86,206.98,3.32,2588,Clothing
2026-01-26,15914.49,79,201.45,3.21,2459,Home & Garden
2026-01-26,9894.53,61,162.21,3.46,1764,Sports
2026-01-27,35977.07,197,182.62,3.44,5726,Electronics
2026-01-27,16642.97,113,147.28,2.93,3858,Clothing
2026-01-27,13302.03,80,166.28,3.31,2416,Home & Garden
2026-01-27,9548.1,60,159.14,3.54,1694,Sports
2026-01-28,35532.04,244,145.62,3.11,7842,Electronics
2026-01-28,18154.14,104,174.56,2.81,3700,Clothing
2026-01-28,13996.46,65,215.33,3.38,1925,Home & Garden
2026-01-28,11385.85,54,210.85,3.65,1480,Sports
2026-01-29,32394.24,230,140.84,3.03,7596,Electronics
2026-01-29,19368.77,92,210.53,3.93,2340,Clothing
2026-01-29,14050.17,70,200.72,3.32,2108,Home & Garden
2026-01-29,11134.54,70,159.06,2.83,2474,Sports
2026-01-30,33090.53,232,142.63,3.0,7722,Electronics
2026-01-30,19046.4,110,173.15,2.75,4003,Clothing
2026-01-30,14318.54,95,150.72,3.43,2766,Home & Garden
2026-01-30,9305.99,54,172.33,3.35,1613,Sports
2026-01-31,20351.43,106,191.99,2.7,3920,Electronics
2026-01-31,12559.01,87,144.36,3.07,2835,Clothing
2026-01-31,9284.79,55,168.81,3.64,1510,Home & Garden
2026-01-31,7346.57,36,204.07,3.75,960,Sports
2026-02-01,22044.18,150,146.96,2.53,5931,Electronics
2026-02-01,12908.37,58,222.56,3.03,1917,Clothing
2026-02-01,10665.71,52,205.11,3.48,1495,Home & Garden
2026-02-01,8238.31,38,216.8,2.8,1357,Sports
2026-02-02,29244.85,192,152.32,2.69,7139,Electronics
2026-02-02,19230.33,103,186.7,2.83,3643,Clothing
2026-02-02,15516.05,77,201.51,2.75,2798,Home & Garden
2026-02-02,11333.27,56,202.38,2.67,2095,Sports
2026-02-03,37585.61,173,217.26,2.66,6498,Electronics
2026-02-03,15760.3,95,165.9,3.52,2701,Clothing
2026-02-03,16720.54,97,172.38,3.57,2715,Home & Garden
2026-02-03,9622.61,49,196.38,3.44,1424,Sports
2026-02-04,30326.84,150,202.18,3.78,3973,Electronics
2026-02-04,19005.78,126,150.84,3.98,3169,Clothing
2026-02-04,16011.51,95,168.54,3.14,3023,Home & Garden
2026-02-04,10640.17,58,183.45,3.01,1925,Sports
2026-02-05,38206.5,185,206.52,2.66,6959,Electronics
2026-02-05,21085.83,110,191.69,3.74,2938,Clothing
2026-02-05,15741.69,90,174.91,3.6,2499,Home & Garden
2026-02-05,12667.12,78,162.4,3.71,2101,Sports
2026-02-06,35117.61,196,179.17,3.15,6215,Electronics
2026-02-06,19889.13,123,161.7,3.78,3256,Clothing
2026-02-06,16356.38,111,147.35,3.82,2903,Home & Garden
2026-02-06,10302.45,58,177.63,3.42,1698,Sports
2026-02-07,23516.13,165,142.52,3.78,4369,Electronics
2026-02-07,11824.76,75,157.66,3.7,2028,Clothing
2026-02-07,9957.08,47,211.85,3.55,1323,Home & Garden
2026-02-07,7317.05,51,143.47,3.92,1300,Sports
2026-02-08,21454.26,108,198.65,3.23,3340,Electronics
2026-02-08,14141.52,72,196.41,3.47,2075,Clothing
2026-02-08,10471.09,51,205.32,2.64,1932,Home & Garden
2026-02-08,7217.27,36,200.48,2.96,1216,Sports
2026-02-09,35999.76,202,178.22,3.3,6127,Electronics
2026-02-09,18404.28,92,200.05,3.0,3070,Clothing
2026-02-09,15976.5,98,163.03,2.88,3406,Home & Garden
2026-02-09,10009.59,64,156.4,2.68,2388,Sports
2026-02-10,35659.58,177,201.47,2.78,6372,Electronics
2026-02-10,17291.9,96,180.12,3.59,2676,Clothing
2026-02-10,17281.89,94,183.85,2.92,3214,Home & Garden
2026-02-10,9980.99,64,155.95,2.84,2252,Sports
2026-02-11,32013.75,226,141.65,3.3,6845,Electronics
2026-02-11,17690.27,81,218.4,3.33,2432,Clothing
2026-02-11,16079.04,107,150.27,3.8,2813,Home & Garden
2026-02-11,11353.85,54,210.26,3.36,1606,Sports
2026-02-12,35233.53,201,175.29,2.78,7239,Electronics
2026-02-12,16486.12,76,216.92,3.22,2362,Clothing
2026-02-12,16712.71,97,172.3,2.61,3714,Home & Garden
2026-02-12,11873.87,82,144.8,2.72,3010,Sports
2026-02-13,36373.01,221,164.58,3.99,5537,Electronics
2026-02-13,16935.87,84,201.62,3.41,2463,Clothing
2026-02-13,16634.5,105,158.42,3.28,3197,Home & Garden
2026-02-13,11304.65,64,176.64,3.79,1688,Sports
2026-02-14,37409.02,227,164.8,3.43,6615,Electronics
2026-02-14,18046.64,90,200.52,3.92,2295,Clothing
2026-02-14,12752.27,81,157.44,3.49,2320,Home & Garden
2026-02-14,9404.66,61,154.17,2.61,2334,Sports
2026-02-15,21428.32,121,177.09,3.39,3568,Electronics
2026-02-15,12647.57,79,160.1,3.56,2218,Clothing
2026-02-15,11451.31,64,178.93,3.53,1812,Home & Garden
2026-02-15,9125.03,44,207.39,3.44,1279,Sports
2026-02-16,37866.58,176,215.15,3.14,5609,Electronics
2026-02-16,19608.68,102,192.24,3.86,2640,Clothing
2026-02-16,16996.88,116,146.52,2.75,4219,Home & Garden
2026-02-16,10939.91,54,202.59,3.35,1610,Sports
2026-02-17,33960.51,226,150.27,3.53,6396,Electronics
2026-02-17,20588.95,95,216.73,3.25,2922,Clothing
2026-02-17,15511.07,105,147.72,2.56,4101,Home & Garden
2026-02-17,11417.34,68,167.9,2.88,2364,Sports
2026-02-18,31937.29,147,217.26,3.75,3915,Electronics
2026-02-18,19939.91,92,216.74,4.0,2300,Clothing
2026-02-18,16406.28,101,162.44,2.56,3944,Home & Garden
2026-02-18,12599.5,70,179.99,3.48,2013,Sports
2026-02-19,41100.99,265,155.1,3.38,7844,Electronics
2026-02-19,20366.52,113,180.23,2.64,4285,Clothing
2026-02-19,14945.72,89,167.93,3.51,2539,Home & Garden
2026-02-19,13005.47,78,166.74,3.54,2203,Sports
2026-02-20,34349.55,159,216.03,3.72,4273,Electronics
2026-02-20,19945.32,113,176.51,2.97,3802,Clothing
2026-02-20,14886.56,68,218.92,3.11,2189,Home & Garden
2026-02-20,11841.63,54,219.29,3.49,1548,Sports
2026-02-21,26103.34,150,174.02,2.78,5393,Electronics
2026-02-21,13234.96,66,200.53,3.44,1919,Clothing
2026-02-21,11907.56,76,156.68,3.32,2286,Home & Garden
2026-02-21,9347.42,53,176.37,3.55,1494,Sports
2026-02-22,22933.66,105,218.42,3.41,3076,Electronics
2026-02-22,12776.0,83,153.93,3.33,2495,Clothing
2026-02-22,11261.81,76,148.18,3.99,1905,Home & Garden
2026-02-22,9346.18,52,179.73,2.68,1943,Sports
2026-02-23,40796.75,226,180.52,3.58,6321,Electronics
2026-02-23,19927.9,123,162.02,3.75,3278,Clothing
2026-02-23,18190.77,114,159.57,3.33,3426,Home & Garden
2026-02-23,11508.53,53,217.14,3.26,1624,Sports
2026-02-24,41477.83,198,209.48,2.91,6793,Electronics
2026-02-24,21685.69,125,173.49,3.9,3204,Clothing
2026-02-24,15997.05,77,207.75,2.92,2633,Home & Garden
2026-02-24,11246.61,60,187.44,4.0,1500,Sports
2026-02-25,37263.83,245,152.1,3.31,7406,Electronics
2026-02-25,19094.58,103,185.38,3.32,3106,Clothing
2026-02-25,15805.39,95,166.37,2.78,3413,Home & Garden
2026-02-25,12726.88,68,187.16,2.85,2385,Sports
2026-02-26,40621.53,283,143.54,3.62,7824,Electronics
2026-02-26,21337.52,104,205.17,3.08,3377,Clothing
2026-02-26,16869.63,82,205.73,3.97,2064,Home & Garden
2026-02-26,12043.1,84,143.37,3.25,2581,Sports
2026-02-27,38678.86,184,210.21,3.81,4827,Electronics
2026-02-27,19813.7,108,183.46,3.19,3390,Clothing
2026-02-27,17217.07,99,173.91,3.48,2843,Home & Garden
2026-02-27,10849.81,61,177.87,3.96,1542,Sports
2026-02-28,25178.5,128,196.71,3.48,3683,Electronics
2026-02-28,15670.88,75,208.95,3.79,1979,Clothing
2026-02-28,10931.79,66,165.63,3.58,1844,Home & Garden
2026-02-28,9166.86,43,213.18,2.55,1683,Sports
2026-03-01,23119.44,121,191.07,3.88,3117,Electronics
2026-03-01,16350.64,81,201.86,3.15,2570,Clothing
2026-03-01,10010.84,52,192.52,3.81,1365,Home & Garden
2026-03-01,8392.26,42,199.82,3.86,1089,Sports
2026-03-02,32893.4,161,204.31,2.94,5476,Electronics
2026-03-02,19634.03,129,152.2,3.3,3912,Clothing
2026-03-02,16642.78,81,205.47,2.76,2940,Home & Garden
2026-03-02,10693.97,51,209.69,3.43,1487,Sports
2026-03-03,35248.35,165,213.63,2.71,6078,Electronics
2026-03-03,20236.36,126,160.61,2.88,4370,Clothing
2026-03-03,13969.18,68,205.43,3.85,1765,Home & Garden
2026-03-03,12939.58,84,154.04,3.16,2656,Sports
2026-03-04,36582.77,195,187.6,3.46,5638,Electronics
2026-03-04,20083.36,125,160.67,3.77,3317,Clothing
2026-03-04,14956.54,87,171.91,3.23,2697,Home & Garden
2026-03-04,11357.92,61,186.2,3.36,1814,Sports
2026-03-05,44190.59,270,163.67,3.97,6806,Electronics
2026-03-05,21604.05,133,162.44,3.35,3971,Clothing
2026-03-05,17419.71,87,200.23,2.57,3380,Home & Garden
2026-03-05,12770.03,71,179.86,3.86,1841,Sports
2026-03-06,36161.56,177,204.3,3.41,5189,Electronics
2026-03-06,19782.91,103,192.07,3.43,3001,Clothing
2026-03-06,17443.13,88,198.22,3.49,2522,Home & Garden
2026-03-06,13680.64,71,192.69,3.86,1841,Sports
2026-03-07,28337.77,172,164.75,3.16,5440,Electronics
2026-03-07,14889.66,74,201.21,2.64,2808,Clothing
2026-03-07,10918.89,54,202.2,2.76,1954,Home & Garden
2026-03-07,7762.62,42,184.82,3.96,1061,Sports
2026-03-08,27496.16,129,213.15,3.75,3443,Electronics
2026-03-08,13530.89,65,208.17,3.22,2016,Clothing
2026-03-08,12749.57,63,202.37,3.01,2094,Home & Garden
2026-03-08,7746.01,35,221.31,2.71,1290,Sports
2026-03-09,44526.45,213,209.04,3.59,5939,Electronics
2026-03-09,23937.84,110,217.62,3.71,2967,Clothing
2026-03-09,16065.92,79,203.37,2.52,3133,Home & Garden
2026-03-09,12692.75,71,178.77,3.51,2023,Sports
2026-03-10,41226.73,220,187.39,3.73,5892,Electronics
2026-03-10,23773.84,159,149.52,2.85,5577,Clothing
2026-03-10,14406.12,68,211.85,3.34,2034,Home & Garden
2026-03-10,14169.67,89,159.21,2.6,3429,Sports
2026-03-11,43162.14,202,213.67,2.95,6839,Electronics
2026-03-11,20495.2,135,151.82,3.92,3444,Clothing
2026-03-11,15870.48,88,180.35,2.65,3326,Home & Garden
2026-03-11,14114.07,93,151.76,3.18,2924,Sports
2026-03-12,41499.24,208,199.52,3.92,5307,Electronics
2026-03-12,20636.86,103,200.36,2.73,3770,Clothing
2026-03-12,16487.95,111,148.54,3.23,3432,Home & Garden
2026-03-12,12340.2,57,216.49,2.55,2236,Sports
2026-03-13,38081.12,217,175.49,3.93,5527,Electronics
2026-03-13,23488.33,158,148.66,3.53,4477,Clothing
2026-03-13,17206.51,78,220.6,3.04,2567,Home & Garden
2026-03-13,12345.84,79,156.28,2.68,2944,Sports
2026-03-14,30737.94,174,176.65,3.49,4979,Electronics
2026-03-14,15543.84,82,189.56,2.53,3238,Clothing
2026-03-14,12954.27,81,159.93,2.69,3012,Home & Garden
2026-03-14,9119.31,62,147.09,3.65,1699,Sports
2026-03-15,25476.27,161,158.24,3.81,4231,Electronics
2026-03-15,14192.95,93,152.61,3.85,2415,Clothing
2026-03-15,10184.68,48,212.18,2.72,1766,Home & Garden
2026-03-15,7980.98,49,162.88,2.76,1774,Sports
2026-03-16,41974.62,295,142.29,2.52,11695,Electronics
2026-03-16,23316.05,146,159.7,2.99,4890,Clothing
2026-03-16,15483.02,107,144.7,3.61,2961,Home & Garden
2026-03-16,12970.72,64,202.67,3.21,1991,Sports
2026-03-17,43531.22,240,181.38,2.66,9010,Electronics
2026-03-17,21549.79,99,217.67,2.57,3859,Clothing
2026-03-17,18683.15,89,209.92,3.28,2711,Home & Garden
2026-03-17,12752.44,58,219.87,2.59,2238,Sports
2026-03-18,40065.77,232,172.7,3.53,6573,Electronics
2026-03-18,21536.94,101,213.24,2.61,3869,Clothing
2026-03-18,15106.82,80,188.84,2.6,3078,Home & Garden
2026-03-18,12085.26,63,191.83,3.32,1896,Sports
2026-03-19,38338.1,174,220.33,3.3,5279,Electronics
2026-03-19,21374.03,113,189.15,2.65,4266,Clothing
2026-03-19,18389.66,88,208.97,3.48,2531,Home & Garden
2026-03-19,14054.36,71,197.95,2.82,2515,Sports
